FPS: 5.23872108066, fr_cap: 0.00119209289551, t_calcs: 0.188411951065, imshow2: 0.00123691558838, tot: 0.190886284
FPS: 4.66287969649, fr_cap: 0.00126314163208, t_calcs: 0.211913108826, imshow2: 0.00123596191406, tot: 0.214459747
FPS: 4.92105387026, fr_cap: 0.00172400474548, t_calcs: 0.200086116791, imshow2: 0.00133299827576, tot: 0.203208505
FPS: 4.80051325552, fr_cap: 0.00123405456543, t_calcs: 0.20578789711, imshow2: 0.00124311447144, tot: 0.208311059
FPS: 4.98495324266, fr_cap: 0.00118494033813, t_calcs: 0.198135137558, imshow2: 0.00123286247253, tot: 0.200603687
FPS: 5.07067992864, fr_cap: 0.00109601020813, t_calcs: 0.194727897644, imshow2: 0.00134205818176, tot: 0.197212211
FPS: 4.74257002658, fr_cap: 0.00116395950317, t_calcs: 0.208385944366, imshow2: 0.00126004219055, tot: 0.210856138
FPS: 5.25057447848, fr_cap: 0.00205302238464, t_calcs: 0.187007904053, imshow2: 0.00133800506592, tot: 0.19045535
FPS: 4.71317670919, fr_cap: 0.00118613243103, t_calcs: 0.209699869156, imshow2: 0.00124502182007, tot: 0.212171124
FPS: 4.53616098255, fr_cap: 0.00174999237061, t_calcs: 0.21741604805, imshow2: 0.00123000144958, tot: 0.22045073
FPS: 3.53279774353, fr_cap: 0.00131416320801, t_calcs: 0.280460834503, imshow2: 0.00123906135559, tot: 0.283061775
FPS: 3.17347977284, fr_cap: 0.00120782852173, t_calcs: 0.3126039505, imshow2: 0.00125098228455, tot: 0.315111509
FPS: 3.41631524341, fr_cap: 0.00124001502991, t_calcs: 0.290157079697, imshow2: 0.00126504898071, tot: 0.292713034
FPS: 3.4681729617, fr_cap: 0.0012321472168, t_calcs: 0.285752058029, imshow2: 0.001305103302, tot: 0.288336254
FPS: 3.33838382957, fr_cap: 0.00127100944519, t_calcs: 0.296993970871, imshow2: 0.00123596191406, tot: 0.299546143
FPS: 4.43973637041, fr_cap: 0.00157308578491, t_calcs: 0.222369909286, imshow2: 0.00124597549438, tot: 0.225238599
FPS: 3.95344422499, fr_cap: 0.00208783149719, t_calcs: 0.249464035034, imshow2: 0.00133895874023, tot: 0.252944001
FPS: 4.21681841253, fr_cap: 0.00123810768127, t_calcs: 0.234614133835, imshow2: 0.00124597549438, tot: 0.237145616
FPS: 3.90424654199, fr_cap: 0.00165295600891, t_calcs: 0.252988100052, imshow2: 0.00127291679382, tot: 0.256131366
FPS: 5.07143535085, fr_cap: 0.00173997879028, t_calcs: 0.194154024124, imshow2: 0.00122690200806, tot: 0.197182835
FPS: 5.11084855546, fr_cap: 0.00135087966919, t_calcs: 0.193039894104, imshow2: 0.00122213363647, tot: 0.195662225
FPS: 5.23384289278, fr_cap: 0.0012800693512, t_calcs: 0.188496112823, imshow2: 0.0012378692627, tot: 0.191064199
FPS: 5.06929965821, fr_cap: 0.00142097473145, t_calcs: 0.194561004639, imshow2: 0.00123620033264, tot: 0.197265908
FPS: 5.37387389532, fr_cap: 0.00119400024414, t_calcs: 0.183608055115, imshow2: 0.00123691558838, tot: 0.186085498
FPS: 5.38640037969, fr_cap: 0.00116395950317, t_calcs: 0.183180809021, imshow2: 0.0012571811676, tot: 0.185652742
FPS: 5.62973716345, fr_cap: 0.00187802314758, t_calcs: 0.174454927444, imshow2: 0.00124311447144, tot: 0.177628186
FPS: 5.65604973342, fr_cap: 0.00167298316956, t_calcs: 0.173748970032, imshow2: 0.00132989883423, tot: 0.17680184
FPS: 5.70202704039, fr_cap: 0.00170993804932, t_calcs: 0.17227602005, imshow2: 0.00134301185608, tot: 0.175376229
FPS: 5.49449553196, fr_cap: 0.00161504745483, t_calcs: 0.17906999588, imshow2: 0.00125789642334, tot: 0.18200033
FPS: 5.37338661447, fr_cap: 0.00181603431702, t_calcs: 0.182991027832, imshow2: 0.0012469291687, tot: 0.186102373
FPS: 5.32083940647, fr_cap: 0.00164985656738, t_calcs: 0.184926986694, imshow2: 0.00131607055664, tot: 0.187940271
FPS: 5.20242389461, fr_cap: 0.00179815292358, t_calcs: 0.18914604187, imshow2: 0.00122499465942, tot: 0.192218093
FPS: 5.18030674067, fr_cap: 0.00155210494995, t_calcs: 0.190210103989, imshow2: 0.0012309551239, tot: 0.193038762
FPS: 5.20729732526, fr_cap: 0.00168514251709, t_calcs: 0.189063072205, imshow2: 0.00123906135559, tot: 0.192038199
FPS: 5.08253221656, fr_cap: 0.00172686576843, t_calcs: 0.193732023239, imshow2: 0.00124192237854, tot: 0.196752319
FPS: 4.82251935211, fr_cap: 0.00161099433899, t_calcs: 0.204468011856, imshow2: 0.00123715400696, tot: 0.207360495
FPS: 5.23418247982, fr_cap: 0.00173997879028, t_calcs: 0.18803191185, imshow2: 0.00122308731079, tot: 0.191051803
FPS: 4.83582668235, fr_cap: 0.00157999992371, t_calcs: 0.203849077225, imshow2: 0.0013120174408, tot: 0.206789876
FPS: 4.46684549593, fr_cap: 0.00214791297913, t_calcs: 0.220449924469, imshow2: 0.00122809410095, tot: 0.223871634
FPS: 4.95429975551, fr_cap: 0.00200605392456, t_calcs: 0.198546171188, imshow2: 0.00124382972717, tot: 0.201844872
FPS: 4.82210997604, fr_cap: 0.00175499916077, t_calcs: 0.204350948334, imshow2: 0.00121998786926, tot: 0.207378099
FPS: 5.31000451526, fr_cap: 0.00163316726685, t_calcs: 0.185408115387, imshow2: 0.00123405456543, tot: 0.188323757
FPS: 5.52664374779, fr_cap: 0.001788854599, t_calcs: 0.177873134613, imshow2: 0.00123190879822, tot: 0.180941643
FPS: 5.56736721999, fr_cap: 0.00173616409302, t_calcs: 0.1764960289, imshow2: 0.00132894515991, tot: 0.179618114
FPS: 5.42175178188, fr_cap: 0.0014808177948, t_calcs: 0.18169593811, imshow2: 0.00122213363647, tot: 0.184442232
FPS: 5.4286408097, fr_cap: 0.00165700912476, t_calcs: 0.181262016296, imshow2: 0.00123286247253, tot: 0.184208172
FPS: 5.48300371927, fr_cap: 0.00126314163208, t_calcs: 0.179842948914, imshow2: 0.00123310089111, tot: 0.182381784
FPS: 5.63879761618, fr_cap: 0.00187397003174, t_calcs: 0.174174070358, imshow2: 0.00124406814575, tot: 0.177342772
FPS: 5.85442879664, fr_cap: 0.00176501274109, t_calcs: 0.167759895325, imshow2: 0.00123810768127, tot: 0.170810857
FPS: 5.94346656622, fr_cap: 0.00168395042419, t_calcs: 0.165275096893, imshow2: 0.00123381614685, tot: 0.168251977
FPS: 5.78120304037, fr_cap: 0.00182819366455, t_calcs: 0.169870853424, imshow2: 0.00122714042664, tot: 0.172974378
FPS: 5.78413419164, fr_cap: 0.00178503990173, t_calcs: 0.169720888138, imshow2: 0.00132989883423, tot: 0.172886722
FPS: 5.80285495473, fr_cap: 0.00184917449951, t_calcs: 0.169201850891, imshow2: 0.00122618675232, tot: 0.172328967
FPS: 5.77292207552, fr_cap: 0.00168609619141, t_calcs: 0.170245885849, imshow2: 0.00124096870422, tot: 0.173222501
FPS: 5.81560664218, fr_cap: 0.00168991088867, t_calcs: 0.168870925903, imshow2: 0.00133395195007, tot: 0.171951107
FPS: 5.727946277, fr_cap: 0.00162506103516, t_calcs: 0.171597957611, imshow2: 0.001305103302, tot: 0.174582643
FPS: 5.72287051058, fr_cap: 0.00174903869629, t_calcs: 0.171699047089, imshow2: 0.00123286247253, tot: 0.174737485
FPS: 5.68437088421, fr_cap: 0.00175499916077, t_calcs: 0.172793149948, imshow2: 0.00122594833374, tot: 0.175920963
FPS: 5.53608538929, fr_cap: 0.00131297111511, t_calcs: 0.178032875061, imshow2: 0.00123906135559, tot: 0.180633052
FPS: 5.9021756411, fr_cap: 0.00163817405701, t_calcs: 0.166506052017, imshow2: 0.00123691558838, tot: 0.169429048
FPS: 5.77660424907, fr_cap: 0.00171709060669, t_calcs: 0.170057058334, imshow2: 0.00128793716431, tot: 0.173112084
FPS: 5.96885545531, fr_cap: 0.00139093399048, t_calcs: 0.164878129959, imshow2: 0.00122094154358, tot: 0.167536307
FPS: 5.8044250185, fr_cap: 0.00177407264709, t_calcs: 0.169225931168, imshow2: 0.00123310089111, tot: 0.172282353
FPS: 5.76828793148, fr_cap: 0.00171279907227, t_calcs: 0.170367956161, imshow2: 0.00122809410095, tot: 0.173361665
FPS: 5.76427718221, fr_cap: 0.00195598602295, t_calcs: 0.170205116272, imshow2: 0.00126385688782, tot: 0.173482289
FPS: 5.71341737279, fr_cap: 0.00186204910278, t_calcs: 0.171887874603, imshow2: 0.00122213363647, tot: 0.175026597
FPS: 5.57891587104, fr_cap: 0.00170302391052, t_calcs: 0.176244020462, imshow2: 0.00124192237854, tot: 0.179246295
FPS: 5.50230549627, fr_cap: 0.0016770362854, t_calcs: 0.178798913956, imshow2: 0.00121903419495, tot: 0.181741999
FPS: 5.15070918415, fr_cap: 0.00168013572693, t_calcs: 0.191191911697, imshow2: 0.00122594833374, tot: 0.194148022
FPS: 5.57854629443, fr_cap: 0.00168895721436, t_calcs: 0.176292896271, imshow2: 0.00122904777527, tot: 0.17925817
FPS: 5.75441781329, fr_cap: 0.00188899040222, t_calcs: 0.170606136322, imshow2: 0.00123596191406, tot: 0.173779526
FPS: 5.76958447805, fr_cap: 0.00163602828979, t_calcs: 0.170310020447, imshow2: 0.00132513046265, tot: 0.173322707
FPS: 5.71329839103, fr_cap: 0.00182890892029, t_calcs: 0.171735048294, imshow2: 0.00140905380249, tot: 0.175030242
FPS: 5.90322633279, fr_cap: 0.00147891044617, t_calcs: 0.166632175446, imshow2: 0.00123381614685, tot: 0.169398892
FPS: 5.61469164021, fr_cap: 0.00184607505798, t_calcs: 0.17493891716, imshow2: 0.00126004219055, tot: 0.178104171
FPS: 5.35598552431, fr_cap: 0.00177597999573, t_calcs: 0.183645009995, imshow2: 0.00124096870422, tot: 0.186707002
FPS: 5.63139166121, fr_cap: 0.00175714492798, t_calcs: 0.17444396019, imshow2: 0.00132393836975, tot: 0.177575999
FPS: 5.71301784872, fr_cap: 0.00178408622742, t_calcs: 0.17188501358, imshow2: 0.00131702423096, tot: 0.175038837
FPS: 5.75603598655, fr_cap: 0.00174808502197, t_calcs: 0.170703887939, imshow2: 0.00122904777527, tot: 0.173730672
FPS: 5.67653094479, fr_cap: 0.00180196762085, t_calcs: 0.173063993454, imshow2: 0.0012469291687, tot: 0.17616393
FPS: 5.66607287356, fr_cap: 0.00161004066467, t_calcs: 0.173492908478, imshow2: 0.00133609771729, tot: 0.176489082
FPS: 5.44581357765, fr_cap: 0.00134301185608, t_calcs: 0.180993080139, imshow2: 0.00124478340149, tot: 0.183627292
FPS: 5.44614720839, fr_cap: 0.00126695632935, t_calcs: 0.181066036224, imshow2: 0.00123596191406, tot: 0.183616043
FPS: 5.77415649115, fr_cap: 0.00177812576294, t_calcs: 0.170116186142, imshow2: 0.0012309551239, tot: 0.173185469
FPS: 5.77874617493, fr_cap: 0.00172305107117, t_calcs: 0.17004108429, imshow2: 0.00123000144958, tot: 0.173047919
FPS: 5.72503251632, fr_cap: 0.00165605545044, t_calcs: 0.171738147736, imshow2: 0.0012309551239, tot: 0.174671497
FPS: 5.54910780058, fr_cap: 0.00176787376404, t_calcs: 0.177150011063, imshow2: 0.00124502182007, tot: 0.18020915
FPS: 5.65296234645, fr_cap: 0.00167894363403, t_calcs: 0.173936128616, imshow2: 0.00123596191406, tot: 0.176898401
FPS: 5.70187296492, fr_cap: 0.00174498558044, t_calcs: 0.172372102737, imshow2: 0.00121688842773, tot: 0.175380968
FPS: 5.30479340336, fr_cap: 0.001629114151, t_calcs: 0.185461997986, imshow2: 0.00136685371399, tot: 0.188508755
FPS: 5.28324674532, fr_cap: 0.00165390968323, t_calcs: 0.186329841614, imshow2: 0.00123500823975, tot: 0.18927755
FPS: 5.13958945062, fr_cap: 0.0018470287323, t_calcs: 0.191431045532, imshow2: 0.00124096870422, tot: 0.19456807
FPS: 4.61949800118, fr_cap: 0.00127196311951, t_calcs: 0.213918209076, imshow2: 0.00123882293701, tot: 0.216473738
FPS: 5.23733211391, fr_cap: 0.0015869140625, t_calcs: 0.187953948975, imshow2: 0.00134420394897, tot: 0.190936908
FPS: 5.41957401747, fr_cap: 0.00170016288757, t_calcs: 0.181511163712, imshow2: 0.0012538433075, tot: 0.184516347
FPS: 5.35685670534, fr_cap: 0.00157403945923, t_calcs: 0.183683156967, imshow2: 0.00136494636536, tot: 0.186676638
FPS: 5.02891346136, fr_cap: 0.00172805786133, t_calcs: 0.195816040039, imshow2: 0.0012538433075, tot: 0.198850111
