FPS: 5.20811657261, fr_cap: 0.00181889533997, t_calcs: 0.188906908035, imshow2: 0.00122714042664, tot: 0.192007991
FPS: 5.18534185165, fr_cap: 0.00178408622742, t_calcs: 0.18976688385, imshow2: 0.00124311447144, tot: 0.192851316
FPS: 5.00266036476, fr_cap: 0.00170612335205, t_calcs: 0.196904182434, imshow2: 0.00122904777527, tot: 0.199893642
FPS: 4.54137542012, fr_cap: 0.00199604034424, t_calcs: 0.216928005219, imshow2: 0.0012218952179, tot: 0.220197607
FPS: 4.99293596923, fr_cap: 0.00170803070068, t_calcs: 0.19727897644, imshow2: 0.00124907493591, tot: 0.200282961
FPS: 4.88652941187, fr_cap: 0.00171089172363, t_calcs: 0.201626062393, imshow2: 0.0012629032135, tot: 0.20464422
FPS: 4.538589681, fr_cap: 0.0016610622406, t_calcs: 0.217355966568, imshow2: 0.00126791000366, tot: 0.220332762
FPS: 5.14903230374, fr_cap: 0.00172901153564, t_calcs: 0.191200971603, imshow2: 0.00123500823975, tot: 0.19421125
FPS: 5.26155868551, fr_cap: 0.00190496444702, t_calcs: 0.186876058578, imshow2: 0.00122809410095, tot: 0.190057749
FPS: 5.40992160796, fr_cap: 0.00163793563843, t_calcs: 0.181926012039, imshow2: 0.00122308731079, tot: 0.184845562
FPS: 5.36319367929, fr_cap: 0.00199699401855, t_calcs: 0.183159828186, imshow2: 0.00124311447144, tot: 0.186456067
FPS: 5.43558273238, fr_cap: 0.00178909301758, t_calcs: 0.1808989048, imshow2: 0.00122618675232, tot: 0.183972915
FPS: 5.29921368889, fr_cap: 0.00163698196411, t_calcs: 0.185672044754, imshow2: 0.00134897232056, tot: 0.188707242
FPS: 5.237193543, fr_cap: 0.00166702270508, t_calcs: 0.188005208969, imshow2: 0.00122499465942, tot: 0.19094196
FPS: 4.93727169161, fr_cap: 0.00199818611145, t_calcs: 0.199222803116, imshow2: 0.00127100944519, tot: 0.202541011
FPS: 5.02280526879, fr_cap: 0.00161290168762, t_calcs: 0.196204900742, imshow2: 0.00122714042664, tot: 0.199091931
FPS: 5.46463307779, fr_cap: 0.00160503387451, t_calcs: 0.180108070374, imshow2: 0.00123810768127, tot: 0.182994903
FPS: 5.36227250277, fr_cap: 0.00178289413452, t_calcs: 0.18342089653, imshow2: 0.00123810768127, tot: 0.186488098
FPS: 5.44598965627, fr_cap: 0.00195407867432, t_calcs: 0.180288076401, imshow2: 0.0013210773468, tot: 0.183621355
FPS: 5.39479399143, fr_cap: 0.001708984375, t_calcs: 0.182280063629, imshow2: 0.00132894515991, tot: 0.18536389
FPS: 5.28225840211, fr_cap: 0.00194096565247, t_calcs: 0.186064958572, imshow2: 0.00125789642334, tot: 0.189312965
FPS: 5.30218726731, fr_cap: 0.00185489654541, t_calcs: 0.185469150543, imshow2: 0.00123000144958, tot: 0.188601411
FPS: 5.20163744426, fr_cap: 0.00200200080872, t_calcs: 0.188955068588, imshow2: 0.00124001502991, tot: 0.192247155
FPS: 5.3059676425, fr_cap: 0.00183796882629, t_calcs: 0.185364961624, imshow2: 0.00121593475342, tot: 0.188467037
FPS: 5.19209912668, fr_cap: 0.00159597396851, t_calcs: 0.1897149086, imshow2: 0.00124311447144, tot: 0.192600329
FPS: 5.2510856764, fr_cap: 0.00180101394653, t_calcs: 0.187334060669, imshow2: 0.0012538433075, tot: 0.190436809
FPS: 5.38871033607, fr_cap: 0.0018630027771, t_calcs: 0.182431936264, imshow2: 0.00123000144958, tot: 0.185573159
FPS: 5.41382211369, fr_cap: 0.0016930103302, t_calcs: 0.181726932526, imshow2: 0.00123810768127, tot: 0.184712386
FPS: 5.45233346269, fr_cap: 0.00172710418701, t_calcs: 0.18040394783, imshow2: 0.00122094154358, tot: 0.183407711
FPS: 5.49336996664, fr_cap: 0.00184798240662, t_calcs: 0.178793907166, imshow2: 0.00134301185608, tot: 0.182037621
