FPS: 6.46294895739, fr_cap: 0.00478315353394, t_calcs: 0.148621082306, imshow2: 0.00125908851624, tot: 0.154728129
FPS: 6.27126354214, fr_cap: 0.00478792190552, t_calcs: 0.153377056122, imshow2: 0.00122499465942, tot: 0.159457499
FPS: 6.58243787933, fr_cap: 0.00464010238647, t_calcs: 0.145708084106, imshow2: 0.00150299072266, tot: 0.151919398
FPS: 6.12780193973, fr_cap: 0.00596213340759, t_calcs: 0.155657052994, imshow2: 0.00149297714233, tot: 0.163190653
FPS: 6.27250921294, fr_cap: 0.00463700294495, t_calcs: 0.153143882751, imshow2: 0.00157999992371, tot: 0.159425832
FPS: 6.36322475555, fr_cap: 0.00479984283447, t_calcs: 0.151054859161, imshow2: 0.00123405456543, tot: 0.157153022
FPS: 6.13557215453, fr_cap: 0.00467395782471, t_calcs: 0.15674996376, imshow2: 0.00149512290955, tot: 0.162983985
FPS: 6.40465685162, fr_cap: 0.00475788116455, t_calcs: 0.150077104568, imshow2: 0.00123381614685, tot: 0.15613639
FPS: 6.22834323311, fr_cap: 0.00468611717224, t_calcs: 0.154561042786, imshow2: 0.00124382972717, tot: 0.160556341
FPS: 6.187465682, fr_cap: 0.00475597381592, t_calcs: 0.155193090439, imshow2: 0.0016028881073, tot: 0.161617058
FPS: 6.20071508879, fr_cap: 0.00488710403442, t_calcs: 0.15508389473, imshow2: 0.00123596191406, tot: 0.161271722
FPS: 6.25020008453, fr_cap: 0.00464677810669, t_calcs: 0.154043197632, imshow2: 0.00123977661133, tot: 0.159994878
FPS: 6.33169088217, fr_cap: 0.0065279006958, t_calcs: 0.149808168411, imshow2: 0.0015230178833, tot: 0.157935695
FPS: 6.26196289305, fr_cap: 0.00471186637878, t_calcs: 0.153414011002, imshow2: 0.00150609016418, tot: 0.159694335
FPS: 6.49801793233, fr_cap: 0.00477313995361, t_calcs: 0.147815942764, imshow2: 0.00123906135559, tot: 0.153893081
FPS: 5.93704408325, fr_cap: 0.0048840045929, t_calcs: 0.162256002426, imshow2: 0.00123190879822, tot: 0.168433986
FPS: 6.20089453484, fr_cap: 0.00499701499939, t_calcs: 0.154684066772, imshow2: 0.00152087211609, tot: 0.161267055
FPS: 6.37196250857, fr_cap: 0.00466299057007, t_calcs: 0.150975942612, imshow2: 0.00123810768127, tot: 0.156937521
FPS: 6.12318204945, fr_cap: 0.00471591949463, t_calcs: 0.157016992569, imshow2: 0.00151300430298, tot: 0.163313779
FPS: 6.30659212561, fr_cap: 0.00477194786072, t_calcs: 0.152473926544, imshow2: 0.00125217437744, tot: 0.158564242
FPS: 5.94462728302, fr_cap: 0.00479102134705, t_calcs: 0.161871910095, imshow2: 0.0014910697937, tot: 0.168219125
FPS: 6.07849935758, fr_cap: 0.00599193572998, t_calcs: 0.1571829319, imshow2: 0.0012640953064, tot: 0.164514289
FPS: 6.27327817491, fr_cap: 0.00473403930664, t_calcs: 0.153360843658, imshow2: 0.0012481212616, tot: 0.15940629
FPS: 6.19968037176, fr_cap: 0.00474190711975, t_calcs: 0.155216932297, imshow2: 0.00127792358398, tot: 0.161298638
FPS: 6.60171590479, fr_cap: 0.00509905815125, t_calcs: 0.145017147064, imshow2: 0.00129389762878, tot: 0.15147577
FPS: 6.30980213565, fr_cap: 0.00508213043213, t_calcs: 0.152087926865, imshow2: 0.00124907493591, tot: 0.158483575
FPS: 6.21202372476, fr_cap: 0.00477313995361, t_calcs: 0.154880046844, imshow2: 0.00126194953918, tot: 0.160978136
FPS: 6.01118038676, fr_cap: 0.00526809692383, t_calcs: 0.159755945206, imshow2: 0.00126504898071, tot: 0.166356678
